Category,Sub-Category,Part Name,Part Number,Vendor,Quantity Required,Quantity,Unit Cost,Cost
Mechanical,Finger,Link Core,CNC2604075001669,JLCPCB (CNC machined),1,1,$36.36,36.36
Mechanical,Finger,Cage Cover,CNC2604075001674,JLCPCB (CNC machined),2,2,$23.56,47.12
Mechanical,Finger,Capstan,CNC2604075001676,JLCPCB (CNC machined),1,1,$22.38,22.38
Mechanical,Finger,Linkage (linkage4bar),26-06-177-433-1,Fabworks Q#26-06-3867,1,3,$5.33,5.33
Mechanical,Finger,DIP Link,26-06-658-753-1,Fabworks Q#26-06-3867,1,3,$5.75,5.75
Mechanical,Finger,PIP LInk,26-06-357-047-1,Fabworks Q#26-06-3867,1,4,$5.97,5.97
Mechanical,Finger,MCP Link,26-06-697-650-1,Fabworks Q#26-06-3867,2,8,$4.56,9.12
Mechanical,Finger,Right Bracket,26-06-822-506-1,Fabworks Q#26-06-3867,2,6,$3.83,7.66
,,,,,,,,
Mechanical,Finger,4mm Alloy Steel Shoulder Screw,92981A141,McMaster,4,1,$2.77,2.77
Mechanical,Finger,5mm External Retaining Ring,90119A106,McMaster,8,1,$3.43,3.43
Mechanical,Finger,18-8 SS 5mm Dowel Pin,91585A581,McMaster,1,1,$18.45,18.45
Mechanical,Finger,6061 Aluminum Round Bar 3ft,4634T433,McMaster,1,1,$46.83,46.83
Mechanical,Finger,52100 Alloy Steel 5mm Dowel Pin,91595A430,McMaster,1,1,$13.13,13.13
Mechanical,Finger,SS684 Miniature Bearing,S684,Bearings Direct,2,2,$5.63,11.26
Mechanical,Finger,684-ZZ Miniature Bearing,684-ZZ,Bearings Direct,1,1,$4.38,4.38
Mechanical,Finger,SMR104 Stainless-Steel Miniature Ball Bearing,SMR104,Bearings Direct,2,2,$8.13,16.26
Mechanical,Finger,SSMR84-ZZ Stainles-Steel Mini Ball Bearing,SMR84-ZZ,Bearings Direct,3,7,$8.13,56.91
Mechanical,Finger,694 Miniature Ball Bearing,694,Bearings Direct,5,14,$4.38,61.32
Mechanical,Finger,6061 Aluminum Sheet 100x50x0.5 mm,,Amazon,1,1,$9.99,9.99
Mechanical,Finger,"6061 Aluminum Sheet 6x12"" 1mm Thick",,Amazon,1,1,$22.99,22.99
Mechanical,Finger,1.18mm Vectran Micro-Cord,,Other,1,1,$18.99,18.99
Mechanical,Finger,100lb SpiderWire Stealth Braid Fishing Line,,Amazon,1,1,$20.57,20.57
,,,,,,,,
Mechanical,Capstan,4mm Alloy Steel Shoulder Screw,92981A141,McMaster,4,1,$2.77,11.08
Mechanical,Capstan,M2 x 0.4 mm Thread 6mm Long Screw,92290A013,McMaster,1,1,$10.16,10.16
Mechanical,Capstan,M2 x 0.4 mm Thread 6mm Long Vented Screws,93235A304,McMaster,1,1,$12.88,12.88
Mechanical,Capstan,SMR104 Stainless-Steel Miniature Ball Bearing,SMR104,Bearings Direct,4,4,$8.13,8.13
Mechanical,Capstan,SSMR84-ZZ Stainles-Steel Mini Ball Bearing,SMR84-ZZ,Bearings Direct,4,4,$8.13,8.13
Mechanical,Capstan,52100 Alloy Steel 4mm Dowel Pin,91585A488,McMaster,1,1,$11.87,11.87
